Index,OEB,DRB,KJV,WEB,NT/OT
1,2 timothy,second epistle st. paul to timothy,second epistle paul  apostle to timothy,2 timothy,NT
2,philippians,epistle st. paul to  philippians,epistle paul  apostle to  philippians,philippians,NT
3,philemon,epistle st. paul to philemon,epistle paul  apostle to philemon,philemon,NT
4,acts,acts of  apostles,acts of  apostles,acts,NT
5,3 john,third epistle st. john  apostle,third epistle general of john,3 john,NT
7,james,catholic epistle st. james  apostle,general epistle james,james,NT
8,luke,holy gospel of jesus christ according to st. luke,gospel according to saint luke,luke,NT
9,john,first epistle st. john  apostle,revelation of saint john  divine,john,NT
10,psalms,book of psalms,psalms,psalms,OT
11,romans,epistle st. paul  apostle to  romans,epistle paul  apostle to  romans,romans,NT
12,titus,epistle st. paul to titus,epistle paul  apostle to titus,titus,NT
13,mark,holy gospel of jesus christ according to st. mark,gospel according to saint mark,mark,NT
14,colossians,epistle st. paul to  colossians,epistle paul  apostle to  colossians,colossians,NT
15,1 corinthians,first epistle st. paul to  corinthians,first epistle paul  apostle to  corinthians,1 corinthians,NT
16,2 peter,second epistle st. peter  apostle,second general epistle peter,2 peter,NT
17,1 timothy,first epistle st. paul to timothy,first epistle paul  apostle to timothy,1 timothy,NT
18,1 thessalonians,first epistle st. paul to  thessalonians,first epistle paul  apostle to  thessalonians,1 thessalonians,NT
19,esther,book of esther,esther,esther,OT
20,ruth,book of ruth,ruth,ruth,OT
21,hebrews,epistle st. paul to  hebrews,epistle paul  apostle to  hebrews,hebrews,NT
22,ephesians,epistle st. paul to  ephesians,epistle paul  apostle to  ephesians,ephesians,NT
23,2 thessalonians,second epistle st. paul to  thessalonians,second epistle paul  apostle to  thessalonians,2 thessalonians,NT
24,2 corinthians,second epistle st. paul to  corinthians,second epistle paul  apostle to  corinthians,2 corinthians,NT
25,1 John,first epistle st. john  apostle,first epistle general of john,1 john,NT
26,2 John,second epistle st. john  apostle,second epistle general of john,2 john,NT
27,galatians,epistle st. paul to  galatians,epistle paul  apostle to  galatians,galatians,NT
