Version,Book,Chapter,Verse,Text,sentiment,sentiment_score
DRB,The Second Epistle of St. John the Apostle,1,7,For many seducers are gone out into the world who confess not that Jesus Christ is come in the flesh. This is a seducer and an antichrist.,NEGATIVE,0.5546689033508301
DRB,The Second Epistle of St. John the Apostle,1,9,"Whosoever revolteth and continueth not in the doctrine of Christ hath not God. He that continueth in the doctrine, the same hath both the Father and the Son.",NEGATIVE,0.966285228729248
KJV,The Second Epistle General of John,1,7,"For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh. This is a deceiver and an antichrist.",NEGATIVE,0.7413382530212402
KJV,The Second Epistle General of John,1,9,"Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God. He that abideth in the doctrine of Christ, he hath both the Father and the Son.",NEGATIVE,0.9641652703285217
KJV,The Second Epistle General of John,1,10,"If there come any unto you, and bring not this doctrine, receive him not into your house, neither bid him God speed:",NEGATIVE,0.9933117628097534
KJV,The Second Epistle General of John,1,11,For he that biddeth him God speed is partaker of his evil deeds.,NEGATIVE,0.9439372420310974
OEB,2 John,1,7,I say this because many deceivers have gone out into the world – men who do not acknowledge that Jesus Christ came in flesh and blood. Any such person is a deceiver and antichrist.,NEGATIVE,0.981186032295227
OEB,2 John,1,9,Anyone who goes beyond and fails to live inside of the teaching of Christ does not have God. The person who lives inside that teaching – they have both the Father and the Son.,NEGATIVE,0.8802801966667175
OEB,2 John,1,10,"If anyone comes to you and does not bring this teaching, do not receive them into your house or even welcome them;",NEGATIVE,0.9983417987823486
OEB,2 John,1,11,because the person who welcomes them is sharing with them in his evil work.,NEGATIVE,0.9771900773048401
WEB,2 John,1,9,"Whoever transgresses and doesn't remain in the teaching of Christ, doesn't have God.  He who remains in the teaching, the same has both the Father and the Son.",NEGATIVE,0.9847058653831482
WEB,2 John,1,10,"If anyone comes to you, and doesn't bring this teaching, don't receive him into your house, and don't welcome him,",NEGATIVE,0.9983172416687012
WEB,2 John,1,11,for he who welcomes him participates in his evil works.,NEGATIVE,0.9121556282043457
