Key Words,OEB,WEB,DRB,KJV
colossians,colossians,colossians,the epistle of st. paul to the colossians,the epistle of paul the apostle to the colossians
ephesians,ephesians,ephesians,the epistle of st. paul to the ephesians,the epistle of paul the apostle to the ephesians
esther,esther,esther,the book of esther,the book of esther
corinthians first,1 corinthians,1 corinthians,the first epistle of st. paul to the corinthians,the first epistle of paul the apostle to the corinthians
john first,1 john,1 john,the first epistle of st. john the apostle,the first epistle general of john
first peter,1 peter,1 peter,the first epistle of st. peter the apostle,the first epistle general of peter
thessalonians first,1 thessalonians,1 thessalonians,the first epistle of st. paul to the thessalonians,the first epistle of paul the apostle to the thessalonians
first timothy,1 timothy,1 timothy,the first epistle of st. paul to timothy,the first epistle of paul the apostle to timothy
galatians,galatians,galatians,the epistle of st. paul to the galatians,the epistle of paul the apostle to the galatians
hebrews,hebrews,hebrews,the epistle of st. paul to the hebrews,the epistle of paul the apostle to the hebrews
james,james,james,the catholic epistle of st. james the apostle,the general epistle of james
philemon,philemon,philemon,the epistle of st. paul to philemon,the epistle of paul the apostle to philemon
philippians,philippians,philippians,the epistle of st. paul to the philippians,the epistle of paul the apostle to the philippians
psalms,psalms,psalms,the book of psalms,the book of psalms
romans,romans,romans,the epistle of st. paul the apostle to the romans,the epistle of paul the apostle to the romans
ruth,ruth,ruth,the book of ruth,the book of ruth
corinthians second,2 corinthians,2 corinthians,the second epistle of st. paul to the corinthians,the second epistle of paul the apostle to the corinthians
john second,2 john,2 john,the second epistle of st. john the apostle,the second epistle general of john
second peter,2 peter,2 peter,the second epistle of st. peter the apostle,the second general epistle of peter
thessalonians second,2 thessalonians,2 thessalonians,the second epistle of st. paul to the thessalonians,the second epistle of paul the apostle to the thessalonians
second timothy,2 timothy,2 timothy,the second epistle of st. paul to timothy,the second epistle of paul the apostle to timothy
third john,3 john,3 john,the third epistle of st. john the apostle,the third epistle general of john
titus,titus,titus,the epistle of st. paul to titus,the epistle of paul the apostle to titus
revelation,revelation,revelation,the apocalypse of st. john the apostle,the revelation of saint john the divine
