Index,Book,Version,NEGATIVE,POSITIVE,positive_to_negative_ratio
1,Colossians,DRB,25,70,2.6923076923076925
1,Colossians,KJV,24,71,2.84
1,Colossians,WEB,14,81,5.4
1,Colossians,OEB,19,76,3.8
2,Ephesianss,DRB,34,121,3.4571428571428573
2,Ephesians,KJV,32,123,3.727272727272727
2,Ephesians,WEB,27,128,4.571428571428571
2,Ephesians,OEB,30,125,4.032258064516129
3,Esther,DRB,129,146,1.123076923076923
3,Esther,KJV,83,84,1.0
3,Esther,WEB,78,89,1.1265822784810129
3,Esther,OEB,88,79,0.8876404494382022
4,1 Corinthians,DRB,225,212,0.9380530973451328
4,1 Corinthians,KJV,231,206,0.8879310344827587
4,1 Corinthians,OEB,217,220,1.0091743119266054
4,1 Corinthians,WEB,214,223,1.0372093023255815
5,1 John,OEB,30,75,2.419354838709677
5,1 John,DRB,30,75,2.419354838709677
5,1 John,KJV,33,72,2.117647058823529
5,1 John,WEB,30,75,2.419354838709677
6,1 Peter,KJV,26,79,2.925925925925926
6,1 Peter,OEB,23,82,3.4166666666666665
6,1 Peter,WEB,25,80,3.076923076923077
6,1 Peter,DRB,25,80,3.076923076923077
7,1 Thessalonians,OEB,19,70,3.5
7,1 Thessalonian,KJV,27,62,2.2142857142857144
7,1 Thessalonians,WEB,23,66,2.75
7,1 Thessalonians,DRB,24,64,2.56
8,1 Timothy,DRB,41,71,1.6904761904761905
8,1 Timothy,WEB,39,74,1.85
8,1 Timothy,KJV,41,72,1.7142857142857142
8,1 Timothy,OEB,41,72,1.7142857142857142
9,Galatians,OEB,70,79,1.1126760563380282
9,Galatians,WEB,66,83,1.2388059701492538
9,Galatians,KJV,77,72,0.9230769230769232
9,Galatians,DRB,75,74,0.9736842105263158
10,Hebrews,OEB,115,188,1.6206896551724137
10,Hebrews,KJV,124,179,1.432
10,Hebrews,DRB,131,172,1.303030303030303
10,Hebrews,WEB,106,197,1.841121495327103
11,James,DRB,55,53,0.9464285714285714
11,James,KJV,58,50,0.847457627118644
11,James,WEB,46,62,1.319148936170213
11,James,OEB,52,56,1.0566037735849056
13,Philemon,WEB,3,22,5.5
13,Philemon,OEB,5,20,3.333333333333333
13,Philemon,DRB,6,19,2.7142857142857144
13,Philemon,KJV,6,19,2.7142857142857144
14,Philippians,KJV,30,74,2.3870967741935485
14,Philippians,WEB,27,77,2.75
14,Philippians,DRB,23,81,3.375
14,Philippians,OEB,27,77,2.75
15,Psalms,OEB,742,1718,2.3122476446837146
15,Psalms,DRB,804,1705,2.1180124223602483
15,Psalms,KJV,816,1645,2.0134638922888617
15,Psalms,WEB,686,1775,2.583697234352256
16,Romans,DRB,184,249,1.345945945945946
16,Romanss,KJV,191,242,1.2604166666666667
16,Romans,WEB,185,248,1.3333333333333333
16,Romans,OEB,165,268,1.6144578313253013
17,Ruth,WEB,32,53,1.606060606060606
17,Ruth,OEB,36,49,1.3243243243243243
17,Ruth,KJV,38,47,1.205128205128205
17,Ruth,DRB,38,47,1.205128205128205
18,2 Corinthians,OEB,75,182,2.3947368421052637
18,2 Corinthians,WEB,79,178,2.225
18,2 Corinthians,DRB,80,175,2.1604938271604937
18,2 Corinthians,KJV,89,168,1.8666666666666667
19,2 John,DRB,2,11,3.6666666666666665
19,2 John,OEB,4,9,1.8
19,2 John,WEB,3,10,2.5
19,2 John,KJV,4,9,1.8
20,2 Peter,WEB,21,40,1.818181818181818
20,2 Peter,OEB,24,37,1.48
20,2 Peter,DRB,26,35,1.2962962962962965
20,2 Peter,KJV,26,35,1.2962962962962965
21,2 Thessalonians,WEB,15,32,2.0
21,2 Thessalonians,OEB,17,30,1.6666666666666667
21,2 Thessalonians,KJV,13,34,2.4285714285714284
21,2 Thessalonians,DRB,13,33,2.357142857142857
22,2 Timothy,WEB,27,56,2.0
22,2 Timothy,OEB,25,58,2.230769230769231
22,2 Timothy,KJV,31,52,1.625
22,2 Timothy,DRB,30,53,1.7096774193548387
23,3 John,KJV,6,8,1.1428571428571428
23,3 John,DRB,17,22,1.2222222222222223
23,3 John,WEB,5,9,1.5
23,3 John,OEB,4,11,2.2
24,Titus,KJV,13,33,2.357142857142857
24,Titus,DRB,11,35,2.9166666666666665
24,Titus,OEB,13,33,2.357142857142857
24,Titus,WEB,15,31,1.9375
25,Revelation,DRB,149,256,1.7066666666666668
25,Revelation,WEB,138,267,1.920863309352518
25,Revelation,OEB,149,256,1.7066666666666668
25,Revelation,KJV,151,253,1.6644736842105263
